status_id	created_at	screen_name	text	favorite_count	retweet_count
1372791679367868421	2021-03-19T06:06:56Z	nytimes	"North Korea severed diplomatic ties with Malaysia after that country’s highest court agreed to extradite a North Korean man accused of money laundering to the U.S.

The extradition is part of Washington’s efforts to choke Pyongyang’s illicit trade. https://t.co/YAmV55sTBr"	307	114
1372779892211732482	2021-03-19T05:20:05Z	nytimes	With the China-US Alaska talks as frigid as expected, it's worth thinking about what reprisals come next. Sources said that LinkedIn believes its suspension in China is connected to souring ties. If I were Apple, I'd be worried. https://t.co/ArK7hK36cZ	0	40
1372774903837908996	2021-03-19T05:00:16Z	nytimes	James Levine’s career ended with allegations of sexual abuse and harassment. But the Met Opera’s longtime conductor, who has died at 77, changed that company in ways that will outlive him, our critic writes. https://t.co/tYlwu4U0Z5	136	31
1372769819699781638	2021-03-19T04:40:04Z	nytimes	"A music box conjures memories of a lost spouse.

A mother’s wedding ring is worn around a daughter’s neck.

These are among the artifacts readers have submitted to The Times to memorialize the lives of those lost during the pandemic.
 
Share yours here: https://t.co/edsxWSRK60"	0	36
1372764796391596048	2021-03-19T04:20:06Z	nytimes	"In Opinion

""Today, more than 12 years after my last day of school, I’ve paid $60,000 toward $78,000 of loans,"" writes Molly Webster, a science reporter. ""Somehow, I am now $100,000 in debt. And yet I am ineligible for the CARES Act."" https://t.co/SgPkq30zEN"	804	234
1372759783904743435	2021-03-19T04:00:11Z	nytimes	Amid fear, sadness and pain, the shootings in the Atlanta area have generated anger over the longstanding failure to address anti-Asian discrimination in the U.S. https://t.co/IQ5EI5nHLU	351	73
1372754737087410181	2021-03-19T03:40:08Z	nytimes	What was supposed to be a routine opening of diplomatic channels dissolved into an hour of verbal jousting at US-China talks. Hopes for progress were so low that US officials had earlier joked both sides should simply swap their respective talking points. https://t.co/G0zFTPJErh	0	54
1372752249324113925	2021-03-19T03:30:15Z	nytimes	For many Asian-American women, the suggestion that the Georgia gunman was motivated by racism or sexism, not both, fails to recognize their reality: the two have always been inextricably intertwined. https://t.co/oSZlzY5FE0 https://t.co/2NkMdX3Wjs	3484	784
1372750945914863616	2021-03-19T03:25:04Z	nytimes	An L.A. private investigator dug up personal data on Meghan Markle and illegally passed it to the UK tabloid, The Sun, just as she began dating Prince Harry. Now the PI is telling his unsavory tale. W/⁦@sarahlyall⁩  https://t.co/eJFzI3IXjf	0	96
1372749700198109187	2021-03-19T03:20:07Z	nytimes	"The man whom the police have charged with killing eight people at Atlanta-area massage parlors had been a customer of at least two of the spas, the police said on Thursday.
https://t.co/viSUzWTMKh"	203	53
1372744656912535555	2021-03-19T03:00:05Z	nytimes	"The authorities also found the carcasses of two leopard sharks and a hammerhead shark, and the snout of an endangered smalltooth sawfish inside the man’s house.
https://t.co/etK6yZUUF4"	160	59
1372742130880364546	2021-03-19T02:50:02Z	nytimes	I wrote about Ludwig's never ending stream https://t.co/qB9OPTJQnj	0	217
1372739614109265923	2021-03-19T02:40:02Z	nytimes	Gunmen killed 13 law enforcement officers in an ambush on a Mexican government convoy southwest of the capital, officials said. https://t.co/86SqviFlvr	188	79
1372737160571465728	2021-03-19T02:30:17Z	nytimes	"The Los Angeles Police Department said on Thursday that it had opened an investigation into a woman’s allegation that she had been sexually assaulted by the actor Armie Hammer in 2017. 
https://t.co/sudLKND1i7"	232	49
1372734598787006467	2021-03-19T02:20:07Z	nytimes	"NEW: The man charged in the Atlanta rampage had patronized the massage parlors that were attacked and struggled with a self-described addiction to sex that left him worry about falling ""out of God's grace.""
(w/ @RichardFausset @publicroad @jackhealyNYT) https://t.co/F7aKd5kyP5"	0	25
1372729601517088778	2021-03-19T02:00:15Z	nytimes	The Biden administration’s first face-to-face meeting with senior Chinese diplomats dissolved into more than an hour of very public verbal jousting. https://t.co/kfCfw2luA4	247	85
1372724527063523330	2021-03-19T01:40:05Z	nytimes	"Six of the eight victims in the Atlanta-area shootings were women of Asian descent. New York Times readers are sharing their own experiences and concerns about the violence.
Join the conversation: https://t.co/RF9m8bxs30 https://t.co/FnGLBRhTKk"	415	136
1372722049588867072	2021-03-19T01:30:15Z	nytimes	"Capt. Jay Baker, a sheriff’s deputy in Georgia, was no longer speaking on behalf of the Cherokee County Sheriff’s Office on the Atlanta spa shootings, according to a spokeswoman for the county. 
https://t.co/bNQtbLHhAB"	328	48
